decay,mae_medio,mae_std,rmse_medio,r2_medio,kendall_tau_medio,top3_accuracy_medio,mae_score,rmse_score,r2_score,kendall_tau_score,top3_accuracy_score,score_composto
0.99,2.3608680963516235,0.19430489524274153,3.0328139621869425,0.6528216004371643,0.6522927909801679,0.19507575757575757,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
0.96,2.366259455680847,0.22148860100790393,3.0499175234446314,0.6484412252902985,0.6495463207933303,0.17424242424242425,0.9423628846849877,0.8625261776413196,0.8480888763945074,0.8777320716345558,0.5217391304347833,0.8355128512227245
0.95,2.3778791427612305,0.20307363136913006,3.059763790685586,0.6464631855487823,0.6497775047671261,0.17424242424242425,0.818140920746099,0.7833845314551725,0.7794905875276215,0.8880239676408461,0.5217391304347833,0.7747137365410166
0.97,2.3781027793884277,0.24360777286860325,3.0510645497791504,0.6479525566101074,0.6445060322778097,0.17234848484848486,0.815750100679523,0.853306688660245,0.8311418785256721,0.6533474640352137,0.47826086956521807,0.7413580324498535
0.9,2.386316657066345,0.24805426538650258,3.059002364481879,0.6460581123828888,0.645612169042193,0.17424242424242425,0.7279384402065587,0.7895046703601993,0.7654426766272612,0.7025906895099202,0.5217391304347833,0.7086747754086513
0.92,2.3973958492279053,0.2190159296994668,3.069528825695991,0.6439643800258636,0.6500117802239249,0.17234848484848486,0.609494716236676,0.7048958080763948,0.692832175421117,0.8984534909274747,0.47826086956521807,0.6785790497869632
0.85,2.3896164894104004,0.18208989560731423,3.0614689043475556,0.6463860273361206,0.6514609818156116,0.1515151515151515,0.6926610999811386,0.7696792867324355,0.776814745758858,0.9629693474070468,0.0,0.6712070416373879
0.98,2.379448413848877,0.24324699584534998,3.053398750154077,0.6473437547683716,0.6445907911825798,0.1515151515151515,0.8013643987011068,0.8345450142429955,0.8100286704714814,0.6571207785049761,0.0,0.6590209615420728
0.88,2.401736259460449,0.25064966831780344,3.0788065421699304,0.6414621770381927,0.6431135568299586,0.17424242424242425,0.5630929259253595,0.6303240199431394,0.6060559394592092,0.5913569537706442,0.5217391304347833,0.581219928980267
0.94,2.393426537513733,0.237466977040566,3.0782906876611094,0.6418359875679016,0.6458087034589286,0.1515151515151515,0.6519292235697136,0.634470319654652,0.6190196641813412,0.7113400493616809,0.0,0.5568212577277163
0.65,2.417527914047241,0.1638510997953159,3.1058022666614677,0.6360685527324677,0.6431946333367667,0.19507575757575757,0.3942699332711414,0.4133396517592843,0.4190054012935819,0.594966334485586,1.0,0.5330762749010687
0.75,2.4343390464782715,0.19518306697831453,3.1075179674148963,0.6355141699314117,0.6472290051826711,0.17424242424242425,0.21454806363965398,0.39954931084467177,0.39977944201102583,0.7745693355371205,0.5217391304347833,0.43742744079344376
0.5,2.454407811164856,0.17152637808393778,3.1572271847498845,0.6239864826202393,0.6298300714137683,0.1515151515151515,0.0,0.0,0.0,0.0,0.0,0.0
