number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,2.367938223543348,7,sqrt,1,3,481,COMPLETE
1,2.323272458245411,14,0.5,2,9,341,COMPLETE
2,2.37539314320717,5,log2,4,4,173,COMPLETE
3,2.3098664234913278,4,0.5,3,3,217,COMPLETE
4,2.3357168137751088,10,sqrt,5,10,118,COMPLETE
5,2.3432199974192263,13,log2,3,3,222,COMPLETE
6,2.460614638732859,3,log2,3,6,464,COMPLETE
7,2.370646253032283,5,log2,5,7,488,COMPLETE
8,2.3084264625194226,4,0.5,5,4,178,COMPLETE
9,2.2840355354530266,7,0.5,5,2,212,COMPLETE
10,2.301803217425218,9,0.5,4,6,323,COMPLETE
11,2.301083431129477,9,0.5,4,6,319,COMPLETE
12,2.2992441165219275,10,0.5,4,8,379,COMPLETE
13,2.296189829374734,11,0.5,4,8,389,COMPLETE
14,2.295222994075733,12,0.5,5,8,417,COMPLETE
15,2.2867487391085275,7,0.5,5,2,255,COMPLETE
16,2.3391902950236347,7,sqrt,2,2,262,COMPLETE
17,2.2863469483164285,7,0.5,5,2,259,COMPLETE
18,2.328118103076366,8,0.5,2,5,114,COMPLETE
19,2.3498093988208613,6,sqrt,5,2,270,COMPLETE
20,2.317544038335023,15,0.5,3,4,167,COMPLETE
21,2.285814284649382,7,0.5,5,2,271,COMPLETE
22,2.2922518952517175,8,0.5,5,2,219,COMPLETE
23,2.2903829406710576,6,0.5,4,3,283,COMPLETE
24,2.292645771004427,8,0.5,5,2,230,COMPLETE
25,2.292748722688244,6,0.5,4,5,309,COMPLETE
26,2.2862647944871277,5,0.5,5,3,192,COMPLETE
27,2.344152645004751,3,0.5,1,3,140,COMPLETE
28,2.3750201058151506,5,log2,4,4,185,COMPLETE
29,2.413345771629256,4,sqrt,5,5,198,COMPLETE
30,2.3503754576995206,6,sqrt,5,3,241,COMPLETE
31,2.287499452332407,7,0.5,5,2,288,COMPLETE
32,2.2809681215035047,7,0.5,5,2,158,COMPLETE
33,2.2947574433671223,8,0.5,4,3,152,COMPLETE
34,2.2870981012552445,5,0.5,5,4,203,COMPLETE
35,2.292531929385736,6,0.5,5,2,151,COMPLETE
36,2.304180314626194,10,0.5,4,3,205,COMPLETE
37,2.4340113827172027,4,log2,2,3,102,COMPLETE
38,2.379110276718378,9,0.5,1,3,132,COMPLETE
39,2.3686365007303998,5,log2,5,10,173,COMPLETE
40,2.286203163027263,7,0.5,4,4,239,COMPLETE
41,2.2861194493542287,7,0.5,5,4,247,COMPLETE
42,2.2922305109443792,7,0.5,4,4,344,COMPLETE
43,2.304881026651837,8,0.5,3,5,234,COMPLETE
44,2.296557302576467,9,0.5,5,4,244,COMPLETE
45,2.287789162214615,7,0.5,5,7,301,COMPLETE
46,2.2994267090688325,9,0.5,4,7,279,COMPLETE
47,2.3550359233138405,6,sqrt,4,2,337,COMPLETE
48,2.3331765300292138,8,log2,5,6,214,COMPLETE
49,2.298964663036397,10,0.5,4,4,246,COMPLETE
